id,display_name,name,product_line,product_id,hex,pattern,skeins,partial_skein,notes
Y95,,Silver,Hobbii Friends Cotton 8/4,118,,,0,no,
Y96,,Gray,Hobbii Friends Cotton 8/4,119,,,0,no,
Y97,,Titanium,Hobbii Friends Cotton 8/4,120,#9b9e9f,solid,1,yes,
Y98,,Anthracite,Hobbii Friends Cotton 8/4,122,#646464,solid,0,no,
Y99,,Charcoal,Hobbii Friends Cotton 8/4,123,,,0,no,
Y100,,Black,Hobbii Friends Cotton 8/4,124,,,0,no,
Y101,P01 (Summer Sunrise),Summer Sunrise,Hobbii Friends Cotton 8/4 Print,01,,,0,no,
Y102,P02 (Sea Buckthorn),Sea Buckthorn,Hobbii Friends Cotton 8/4 Print,02,,,0,no,
Y103,P03 (Strawberry Love),Strawberry Love,Hobbii Friends Cotton 8/4 Print,03,,,0,no,
Y104,P04 (Peonie),Peonie,Hobbii Friends Cotton 8/4 Print,04,,,0,no,
Y105,P05 (Wildberry Smoothie),Wildberry Smoothie,Hobbii Friends Cotton 8/4 Print,05,,,0,no,
Y106,P06 (Raspberry Sorbet),Raspberry Sorbet,Hobbii Friends Cotton 8/4 Print,06,,,0,no,
Y107,P07 (Lavender Potpourri),Lavender Potpourri,Hobbii Friends Cotton 8/4 Print,07,,,0,no,
Y108,P08 (Sky Notions),Sky Notions,Hobbii Friends Cotton 8/4 Print,08,,print,2,yes,
Y109,P09 (Tropical Ocean),Tropical Ocean,Hobbii Friends Cotton 8/4 Print,09,#469ba6;#489dcb;#2352a5,print,2,yes,
Y110,P10 (Fresh Mint),Fresh Mint,Hobbii Friends Cotton 8/4 Print,10,,print,01,yes,
Y111,P11 (Mangrove Forest),Mangrove Forest,Hobbii Friends Cotton 8/4 Print,11,,print,2,no,
Y112,P12 (Jungle Green),Jungle Green,Hobbii Friends Cotton 8/4 Print,12,,print,1,no,
Y113,P13 (Spring Greenery),Spring Greenery,Hobbii Friends Cotton 8/4 Print,13,,print,1,no,
Y114,P14 (Terracotta),Terracotta,Hobbii Friends Cotton 8/4 Print,14,,,0,no,
