id,name,type,url,note
SRC01,Cypress textile,,,
SRC02,The Ultimate Granny Square Sourcebook,book,,
SRC03,Interlocking Crochet,book,,by Ana-Maria Babanica
SRC04,The New Crochet Stitch Dictionary,book,,by Nele Braas and Eveline Hetty-Burkart
SRC05,The Granny Square Book,book,,"by Katy Mitchell "
